Designator,Value,Manufacturer,MPN,LCSC,Footprint,Quantity
C1,1uF,SAMSUNG(三星),CL10A105KA8NNNC,C5673,C0603,1
C5,10uF,SAMSUNG(三星),CL21A106KAYNNNE,C15850,C0805,1
C6,100nF,YAGEO(国巨),CC0603KRX7R9BB104,C14663,C0603,1
C7,22uF,SAMSUNG(三星),CL31A226KAHNNNE,C12891,C1206,1
C8,22uF,SAMSUNG(三星),CL31A226KAHNNNE,C12891,C1206,1
C9,1uF,SAMSUNG(三星),CL10A105KA8NNNC,C5673,C0603,1
C10,100nF,YAGEO(国巨),CC0603KRX7R9BB104,C14663,C0603,1
C11,100nF,YAGEO(国巨),CC0603KRX7R9BB104,C14663,C0603,1
C12,10uF,SAMSUNG(三星),CL21A106KAYNNNE,C15850,C0805,1
C13,100nF,YAGEO(国巨),CC0603KRX7R9BB104,C14663,C0603,1
C14,1uF,SAMSUNG(三星),CL10A105KA8NNNC,C5673,C0603,1
C15,100nF,YAGEO(国巨),CC0603KRX7R9BB104,C14663,C0603,1
C16,100nF,YAGEO(国巨),CC0603KRX7R9BB104,C14663,C0603,1
C17,10uF,SAMSUNG(三星),CL21A106KAYNNNE,C15850,C0805,1
C18,22uF,SAMSUNG(三星),CL31A226KAHNNNE,C12891,C1206,1
FB1,,muRata(村田),BLM18AG601SN1D,C19330,L0603,1
J1,,韩国韩荣,TYPE-C-31-M-12,C165948,USB-C_SMD-TYPE-C-31-M-12_1,1
J2,,JST,B2B-PH-K-S(LF)(SN),C131337,CONN-TH_B2B-PH-K-S,1
J3,,JST,B6B-XH-A(LF)(SN),C144397,CONN-TH_6P-P2.50_B6B-XH-A-LF-SN,1
J4,,JST,B6B-XH-A(LF)(SN),C144397,CONN-TH_6P-P2.50_B6B-XH-A-LF-SN,1
L1,1.5uH,MetalLions(美铼),MTQH303020B1R5MBT,C17701232,IND-SMD_L3.0-W3.0_LQH3NPN2R2NG0L,1
LED2,,KENTO,KT-0603G,C12624,LED0603-RD,1
LED3,,KENTO,KT-0603R,C2286,LED-SMD_L1.6-W0.8-R-RD,1
R1,5.1kΩ,UNI-ROYAL(厚声),0603WAF5101T5E,C23186,R0603,1
R2,5.1kΩ,UNI-ROYAL(厚声),0603WAF5101T5E,C23186,R0603,1
R3,22Ω,UNI-ROYAL(厚声),0603WAF220JT5E,C23345,R0603,1
R4,22Ω,UNI-ROYAL(厚声),0603WAF220JT5E,C23345,R0603,1
R10,100kΩ,UNI-ROYAL(厚声),0603WAF1003T5E,C25803,R0603,1
R11,4.7kΩ,UNI-ROYAL(厚声),0603WAF4701T5E,C23162,R0603,1
R12,4.7kΩ,UNI-ROYAL(厚声),0603WAF4701T5E,C23162,R0603,1
R13,10kΩ,UNI-ROYAL(厚声),0603WAF1002T5E,C25804,R0603,1
R14,10kΩ,UNI-ROYAL(厚声),0603WAF1002T5E,C25804,R0603,1
R15,10kΩ,UNI-ROYAL(厚声),0603WAF1002T5E,C25804,R0603,1
R16,10kΩ,UNI-ROYAL(厚声),0603WAF1002T5E,C25804,R0603,1
R17,10kΩ,UNI-ROYAL(厚声),0603WAF1002T5E,C25804,R0603,1
R18,10kΩ,UNI-ROYAL(厚声),0603WAF1002T5E,C25804,R0603,1
R19,100kΩ,UNI-ROYAL(厚声),0603WAF1003T5E,C25803,R0603,1
R20,100kΩ,UNI-ROYAL(厚声),0603WAF1003T5E,C25803,R0603,1
R21,10kΩ,UNI-ROYAL(厚声),0603WAF1002T5E,C25804,R0603,1
R22,1kΩ,UNI-ROYAL(厚声),0603WAF1001T5E,C21190,R0603,1
R23,1kΩ,UNI-ROYAL(厚声),0603WAF1001T5E,C21190,R0603,1
SW1,,SOFNG(硕方),SS-12D00-G3,C22355741,SW-TH_3P-L8.8-W3.9-P2.50_SS12D00G3,1
SW2,,XUNPU(讯普),TS-1088-AR02016,C720477,SW-SMD_L3.9-W3.0-P4.45,1
SW3,,XUNPU(讯普),TS-1088-AR02016,C720477,SW-SMD_L3.9-W3.0-P4.45,1
SW4,,XUNPU(讯普),TS-1088-AR02016,C720477,SW-SMD_L3.9-W3.0-P4.45,1
U1,2.4GHz,ESPRESSIF(乐鑫),ESP32-C3-MINI-1-H4,C2934569,WIFIM-SMD_ESP32-C3-MINI-1,1
U2,,ST(意法半导体),LSM6DS3TR-C,C967633,LGA-14_L3.0-W2.5-P0.50-TL,1
U4,,TI(德州仪器),TPS63021DSJR,C202140,VSON-14_L4.0-W3.0-P0.50-BL-EP_TI_DSJ,1
U5,,UMW(友台半导体),USBLC6-2SC6,C2687116,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1
